time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2019-04-20,1.31723305e+15,MADRID,5W_39N_2W_41N
2019-04-21,2.09800562e+15,MADRID,5W_39N_2W_41N
2019-04-22,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-23,-4.4950611e+14,MADRID,5W_39N_2W_41N
2019-04-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-25,2.02613914e+15,MADRID,5W_39N_2W_41N
2019-04-26,1.71699062e+15,MADRID,5W_39N_2W_41N
2019-04-27,2.00693111e+15,MADRID,5W_39N_2W_41N
2019-04-28,9.30707401e+14,MADRID,5W_39N_2W_41N
2019-04-29,7.21754759e+14,MADRID,5W_39N_2W_41N
2019-04-30,2.06367407e+15,MADRID,5W_39N_2W_41N
2019-05-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-02,1.87903195e+15,MADRID,5W_39N_2W_41N
2019-05-03,6.06293287e+14,MADRID,5W_39N_2W_41N
2019-05-04,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-05,9.29006996e+14,MADRID,5W_39N_2W_41N
2019-05-06,1.5416306e+15,MADRID,5W_39N_2W_41N
2019-05-07,2.36402436e+15,MADRID,5W_39N_2W_41N
2019-05-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-09,1.14159573e+15,MADRID,5W_39N_2W_41N
2019-05-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-11,9.69234734e+14,MADRID,5W_39N_2W_41N
2019-05-12,1.91789376e+15,MADRID,5W_39N_2W_41N
2019-05-13,2.47309183e+15,MADRID,5W_39N_2W_41N
2019-05-14,1.66875237e+15,MADRID,5W_39N_2W_41N
2019-05-15,1.0464965e+15,MADRID,5W_39N_2W_41N
2019-05-16,2.34115392e+15,MADRID,5W_39N_2W_41N
2019-05-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-18,1.77163348e+15,MADRID,5W_39N_2W_41N
2019-05-19,1.01604343e+15,MADRID,5W_39N_2W_41N
2019-05-20,1.218479e+15,MADRID,5W_39N_2W_41N
2019-05-21,2.11703998e+15,MADRID,5W_39N_2W_41N
2019-05-22,1.20125189e+15,MADRID,5W_39N_2W_41N
2019-05-23,3.11003226e+15,MADRID,5W_39N_2W_41N
2019-05-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-01-31,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-01,1.23357635e+15,MADRID,5W_39N_2W_41N
2020-02-02,9.70536109e+14,MADRID,5W_39N_2W_41N
2020-02-03,9.94080717e+14,MADRID,5W_39N_2W_41N
2020-02-04,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-05,1.49797977e+15,MADRID,5W_39N_2W_41N
2020-02-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-07,2.30927614e+15,MADRID,5W_39N_2W_41N
2020-02-08,6.00288923e+14,MADRID,5W_39N_2W_41N
2020-02-09,5.62365637e+14,MADRID,5W_39N_2W_41N
2020-02-10,1.5100603e+15,MADRID,5W_39N_2W_41N
2020-02-11,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-12,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-13,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-14,1.62859362e+15,MADRID,5W_39N_2W_41N
2020-02-15,1.12279431e+15,MADRID,5W_39N_2W_41N
2020-02-16,1.11601477e+15,MADRID,5W_39N_2W_41N
2020-02-17,1.06735776e+15,MADRID,5W_39N_2W_41N
2020-02-18,8.93231328e+14,MADRID,5W_39N_2W_41N
2020-02-19,1.2720308e+15,MADRID,5W_39N_2W_41N
2020-02-20,-1.267651e+30,MADRID,5W_39N_2W_41N
